"","KRT19","DLK1","MMP11","ACTC","PENK","KIAA1199"
"UL_GSM2496185","  225.7","  151.6","13478.5"," 1452.7","  442.0","  861.2"
"UL_GSM2496186"," 311.2020"," 221.1859","8300.2949","4341.5140"," 219.7620","3915.9192"
"UL_GSM2496187","  80.3379"," 750.0491","6096.7978","1460.5967"," 300.5855","2292.2627"
"UL_GSM2496188"," 232.7532"," 297.5915","8858.7194","8327.8549"," 699.5680","4272.8288"
"UL_GSM2496189","  90.8867"," 105.1468","3590.9747","5434.4145","  99.1353","2212.2382"
"UL_GSM2496190"," 173.6950"," 246.1572","4141.8642","6894.4949"," 255.7960","6548.8160"
"UL_GSM2496191","  110.7633","  130.3135","15286.3475"," 2077.7571","26134.7105"," 1748.5909"
"UL_GSM2496192"," 229.3434"," 115.9152","5414.0117","7325.3255"," 628.3569","3452.3983"
"UL_GSM2496193"," 168.4368"," 167.2939","3713.3113","6205.9336"," 214.7919","2841.1565"
"UL_GSM2496203","  53.70000","  59.56665","3135.01660","2718.71890"," 313.38190","5074.68360"
"UL_GSM2496204","  64.2667"," 628.8682","4134.7076","5810.4964"," 206.0897","4947.5271"
"UL_GSM2496205","  55.1600"," 147.0571","3557.5782","6278.2607"," 312.4611","1938.3781"
"UL_GSM2496206","  49.1000","1683.9196"," 235.9674"," 256.8078","2779.8196"," 156.8375"
"UL_GSM2496207","  61.5667"," 558.8782","1338.7133","1205.7709"," 183.0200","1502.7626"
"UL_GSM2496208","  58.1800","  54.1500"," 669.8036","5419.3930","  48.2000","4624.5410"
"UL_GSM2496209","  45.600","2447.262","1875.990","7028.381","  55.700","1798.948"
"UL_GSM2496217","   58.1889","   86.8758"," 5787.4348","13992.2647","  158.1615"," 5039.2499"
"UL_GSM2496218","  50.0000","3440.1041","2149.2090"," 110.2923","  56.2400"," 185.0452"
"UL_GSM2496219"," 180.8222"," 100.4726","2082.5056","4004.5631","2788.9379","6160.1665"
"UL_GSM2496220"," 310.0376","  51.7125","1505.9771","3524.8251","  72.0000","1015.8700"
"nonUL_GSM2496194","1091.9525","  50.9250"," 375.4297"," 830.2335","  60.3000"," 114.8718"
"nonUL_GSM2496195","515.8506"," 50.7750","234.3021","209.2583"," 78.2667"," 63.1000"
"nonUL_GSM2496196"," 702.4992","  56.5250","1388.8261"," 598.7041"," 431.7050"," 191.4906"
"nonUL_GSM2496197","1403.8176","  51.7375"," 384.0526"," 204.9559","  59.7333","  67.3000"
"nonUL_GSM2496198","293.3222"," 49.2000","136.1964","169.4130"," 89.0789"," 65.8000"
"nonUL_GSM2496199","519.6277"," 54.1125","223.6452","327.8963"," 56.6000","118.7964"
"nonUL_GSM2496200","656.0069"," 49.4000","318.0545","277.3592","166.3780"," 94.1081"
"nonUL_GSM2496201","2049.6529","  48.9000","1683.5592"," 222.5000"," 133.1119"," 212.6529"
"nonUL_GSM2496202","1098.1999","  55.2500"," 627.1667"," 710.6126","  60.1000"," 438.4953"
"nonUL_GSM2496210","577.13950"," 50.28335","270.63240","478.79120","248.20700"," 85.80300"
"nonUL_GSM2496211","995.9970"," 53.0250","298.4438","336.6384","145.2080","126.1120"
"nonUL_GSM2496212","1496.8837","  50.2000"," 227.8305"," 212.2171","  65.5000","  94.8857"
"nonUL_GSM2496213","460.0249"," 51.6000","327.5916","561.8771","234.6832","514.9222"
"nonUL_GSM2496214","773.9125"," 50.6750"," 75.9750","320.9493"," 54.2000","200.7537"
"nonUL_GSM2496215","825.54400"," 49.53335"," 84.25000","216.30000"," 59.48000"," 69.80000"
"nonUL_GSM2496216","992.9002"," 49.0250","199.3587","622.1594"," 60.3833","212.1808"
"nonUL_GSM2496221","170.2700","414.8413","660.8944","410.9448","100.6341","255.3910"
"nonUL_GSM2496222"," 57.4000"," 55.1500","443.3895","350.7279"," 61.6000"," 93.0875"
