"proteinType","proteinSearched","todaysDate"
"ESR1","estrogen","Sun Jul 26 09:46:15 2020"
"ESR2","estrogen","Sun Jul 26 09:46:15 2020"
"CYP19A1","estrogen","Sun Jul 26 09:46:15 2020"
"GPER1","estrogen","Sun Jul 26 09:46:15 2020"
"PGR","estrogen","Sun Jul 26 09:46:15 2020"
"AR","estrogen","Sun Jul 26 09:46:15 2020"
"ERBB2","estrogen","Sun Jul 26 09:46:15 2020"
"ESRRA","estrogen","Sun Jul 26 09:46:15 2020"
"ESRRG","estrogen","Sun Jul 26 09:46:15 2020"
"SULT1E1","estrogen","Sun Jul 26 09:46:15 2020"
"TP53","estrogen","Sun Jul 26 09:46:15 2020"
"CYP17A1","estrogen","Sun Jul 26 09:46:15 2020"
"SHBG","estrogen","Sun Jul 26 09:46:15 2020"
"ESRRB","estrogen","Sun Jul 26 09:46:15 2020"
"BRCA1","estrogen","Sun Jul 26 09:46:15 2020"
"AKT1","estrogen","Sun Jul 26 09:46:15 2020"
"STS","estrogen","Sun Jul 26 09:46:15 2020"
"GNRH1","estrogen","Sun Jul 26 09:46:15 2020"
"TFF1","estrogen","Sun Jul 26 09:46:15 2020"
"IGF1","estrogen","Sun Jul 26 09:46:15 2020"
"EGFR","estrogen","Sun Jul 26 09:46:15 2020"
"BCAR3","estrogen","Sun Jul 26 09:46:15 2020"
"PTEN","estrogen","Sun Jul 26 09:46:15 2020"
"COMT","estrogen","Sun Jul 26 09:46:15 2020"
"CCND1","estrogen","Sun Jul 26 09:46:15 2020"
