"proteinType","proteinSearched","todaysDate"
"TP53","tumor","Sun Jul 26 09:46:34 2020"
"PTEN","tumor","Sun Jul 26 09:46:34 2020"
"KIT","tumor","Sun Jul 26 09:46:34 2020"
"WT1","tumor","Sun Jul 26 09:46:34 2020"
"TNF","tumor","Sun Jul 26 09:46:34 2020"
"PDGFRA","tumor","Sun Jul 26 09:46:34 2020"
"CDKN2A","tumor","Sun Jul 26 09:46:34 2020"
"SMARCA4","tumor","Sun Jul 26 09:46:34 2020"
"CTNNB1","tumor","Sun Jul 26 09:46:34 2020"
"SDHB","tumor","Sun Jul 26 09:46:34 2020"
"ERBB2","tumor","Sun Jul 26 09:46:34 2020"
"SMARCB1","tumor","Sun Jul 26 09:46:34 2020"
"EGFR","tumor","Sun Jul 26 09:46:34 2020"
"CCND1","tumor","Sun Jul 26 09:46:34 2020"
"APC","tumor","Sun Jul 26 09:46:34 2020"
"BAP1","tumor","Sun Jul 26 09:46:34 2020"
"AKT1","tumor","Sun Jul 26 09:46:34 2020"
"BRCA2","tumor","Sun Jul 26 09:46:34 2020"
"MDM2","tumor","Sun Jul 26 09:46:34 2020"
"KRAS","tumor","Sun Jul 26 09:46:34 2020"
"CDH1","tumor","Sun Jul 26 09:46:34 2020"
"MEN1","tumor","Sun Jul 26 09:46:34 2020"
"CDKN1A","tumor","Sun Jul 26 09:46:34 2020"
"NF1","tumor","Sun Jul 26 09:46:34 2020"
"PIK3CA","tumor","Sun Jul 26 09:46:34 2020"
